chrom, mid , last_posinvariant_count, invariant_num_hom_ref, invariant_num_het, invariant_no_data, invariant_avg_depth, invariant_num_hom_alt, variant_count, variant_num_hom_ref, variant_num_het, variant_no_data, variant_avg_depth, variant_num_hom_alt, 
pseudo0, 2450000.0, 2459999, 14287.0, 0.0, 0.0, 0.0, 226350.0, 0.0, 502.0, 8615.0, 6098.0, 0.0, 9483.0, 697.0, 
pseudo0, 2470000.0, 2477294, 8679.0, 0.0, 0.0, 0.0, 147224.0, 0.0, 206.0, 4085.0, 2060.0, 0.0, 3708.0, 243.0, 
pseudo0, 2490000.0, 2477294, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2510000.0, 2519999, 32946.0, 0.0, 0.0, 0.0, 374577.0, 0.0, 187.0, 4001.0, 617.0, 0.0, 2349.0, 544.0, 
pseudo0, 2530000.0, 2536283, 12054.0, 0.0, 0.0, 0.0, 128011.0, 0.0, 28.0, 586.0, 54.0, 0.0, 316.0, 99.0, 
pseudo0, 2550000.0, 2536283, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2570000.0, 2579991, 33334.0, 0.0, 0.0, 0.0, 358872.0, 0.0, 144.0, 3150.0, 415.0, 0.0, 1648.0, 383.0, 
pseudo0, 2590000.0, 2579991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
pseudo0, 2610000.0, 2619999, 33921.0, 0.0, 0.0, 0.0, 378771.0, 0.0, 137.0, 3242.0, 401.0, 0.0, 1620.0, 369.0, 
pseudo0, 2630000.0, 2639999, 16692.0, 0.0, 0.0, 0.0, 195102.0, 0.0, 33.0, 662.0, 142.0, 0.0, 412.0, 165.0, 
pseudo0, 2650000.0, 2652017, 10903.0, 0.0, 0.0, 0.0, 129279.0, 0.0, 34.0, 847.0, 46.0, 0.0, 409.0, 72.0, 
pseudo0, 2670000.0, 2652017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
